source,NR,WR,SR,ER,NER,All India,date
Wind Gen(MU),5,36,57,0,0,98,04-08-2013
Total,938,675,672,314,36,2635,04-08-2013
Hydro,302,111,174,80,16,683,04-08-2013
Total,948,713,678,313,32,2684,05-08-2013
Wind Gen(MU),12,31,56,0,0,99,05-08-2013
Hydro,286,109,185,72,16,668,05-08-2013
Wind Gen(MU),11,28,66,0,0,106,06-08-2013
Total,880,721,686,321,33,2641,06-08-2013
Hydro,291,104,191,72,21,679,06-08-2013
Wind Gen(MU),12,26,74,0,0,112,07-08-2013
Hydro,296,109,194,74,21,694,07-08-2013
Total,883,727,696,314,32,2652,07-08-2013
Wind Gen(MU),17,36,73,0,0,125,08-08-2013
Hydro,266,106,202,77,22,673,08-08-2013
Total,884,737,716,310,34,2681,08-08-2013
Total,869,714,706,313,35,2636,09-08-2013
Hydro,279,107,199,76,23,684,09-08-2013
Wind Gen(MU),19,44,69,0,0,131,09-08-2013
Total,862,706,692,311,35,2606,10-08-2013
Hydro,299,104,197,71,23,694,10-08-2013
Wind Gen(MU),10,51,58,0,0,119,10-08-2013
Total,858,698,668,309,36,2568,11-08-2013
Wind Gen(MU),3,33,47,0,0,83,11-08-2013
Hydro,301,98,178,68,24,669,11-08-2013
Hydro,296,103,168,68,21,656,12-08-2013
Wind Gen(MU),7,30,57,0,0,94,12-08-2013
Total,897,727,670,312,34,2641,12-08-2013
Total,882,725,684,332,36,2658,14-08-2013
Hydro,291,106,166,73,20,656,14-08-2013
Wind Gen(MU),6,37,64,0,0,107,14-08-2013
Total,749,672,646,315,35,2417,15-08-2013
Hydro,289,104,132,74,19,617,15-08-2013
Wind Gen(MU),3,34,48,0,0,84,15-08-2013
Hydro,313,108,142,76,18,657,16-08-2013
Total,768,706,652,318,35,2478,16-08-2013
Wind Gen(MU),4,23,52,0,0,79,16-08-2013
Total,758,728,647,314,36,2483,17-08-2013
Wind Gen(MU),9,31,64,0,0,104,17-08-2013
Hydro,298,88,164,74,19,642,17-08-2013
Wind Gen(MU),11,43,61,0,0,115,18-08-2013
Hydro,308,112,157,73,19,669,18-08-2013
Total,763,703,635,306,35,2441,18-08-2013
Wind Gen(MU),17,59,82,0,0,158,19-08-2013
Hydro,313,110,159,73,18,672,19-08-2013
Total,791,725,673,309,37,2533,19-08-2013
Wind Gen(MU),13,72,79,0,0,164,20-08-2013
Hydro,314,98,168,67,17,664,20-08-2013
Total,784,686,692,288,37,2487,20-08-2013
Total,803,707,706,270,35,2521,21-08-2013
Hydro,312,95,161,69,15,651,21-08-2013
Wind Gen(MU),15,66,78,0,0,159,21-08-2013
Total,824,725,716,295,35,2594,22-08-2013
Wind Gen(MU),12,53,82,0,0,147,22-08-2013
Hydro,319,91,167,81,15,672,22-08-2013
Hydro,316,92,177,87,15,688,23-08-2013
Total,853,736,730,315,36,2669,23-08-2013
Wind Gen(MU),7,57,85,0,0,148,23-08-2013
Hydro,314,87,177,83,16,676,24-08-2013
Total,879,736,736,311,37,2698,24-08-2013
Wind Gen(MU),4,47,86,0,0,137,24-08-2013
Total,885,721,720,301,35,2662,25-08-2013
Hydro,297,85,158,84,16,640,25-08-2013
Wind Gen(MU),6,46,81,0,0,133,25-08-2013
Total,925,754,742,309,33,2763,26-08-2013
Hydro,314,97,161,84,15,671,26-08-2013
Wind Gen(MU),20,43,71,0,0,133,26-08-2013
Wind Gen(MU),24,35,48,0,0,107,27-08-2013
Hydro,314,123,177,80,19,712,27-08-2013
Total,944,764,738,314,33,2793,27-08-2013
Hydro,316,114,161,88,18,697,30-08-2013
Total,908,784,729,329,36,2786,30-08-2013
Wind Gen(MU),14,22,14,0,0,51,30-08-2013
Total,913,803,718,317,36,2788,31-08-2013
Wind Gen(MU),17,17,8,0,0,42,31-08-2013
Hydro,312,119,150,71,18,668,31-08-2013
Hydro,301,115,115,78,17,626,01-09-2013
Total,898,794,690,298,36,2715,01-09-2013
Wind Gen(MU),15,12,10,0,0,37,01-09-2013
Wind Gen(MU),19,17,21,0,0,57,02-09-2013
Hydro,306,126,127,87,18,663,02-09-2013
Total,937,832,701,304,34,2807,02-09-2013
Hydro,295,130,112,77,18,632,03-09-2013
Total,940,852,705,307,35,2839,03-09-2013
Wind Gen(MU),21,26,41,0,0,88,03-09-2013
Wind Gen(MU),19,30,42,0,0,92,04-09-2013
Hydro,285,125,114,84,20,628,04-09-2013
Total,943,861,705,312,35,2855,04-09-2013
Wind Gen(MU),25,37,55,0,0,116,05-09-2013
Total,945,859,728,327,35,2893,05-09-2013
Hydro,282,114,108,87,22,613,05-09-2013
Wind Gen(MU),20,29,36,0,0,85,06-09-2013
Total,943,860,725,325,35,2888,06-09-2013
Hydro,276,109,118,85,23,610,06-09-2013
Total,933,867,696,320,35,2850,07-09-2013
Wind Gen(MU),10,18,33,0,0,61,07-09-2013
Hydro,263,125,101,91,23,604,07-09-2013
Wind Gen(MU),8,9,16,0,0,33,08-09-2013
Hydro,241,108,79,88,19,534,08-09-2013
Total,928,856,646,313,34,2777,08-09-2013
Wind Gen(MU),5,7,29,0,0,41,09-09-2013
Hydro,244,83,76,79,18,499,09-09-2013
Total,930,849,628,315,34,2756,09-09-2013
Hydro,243,109,82,82,17,534,10-09-2013
Wind Gen(MU),7,10,37,0,0,54,10-09-2013
Total,946,873,659,318,36,2832,10-09-2013
Hydro,249,93,96,78,17,532,11-09-2013
Wind Gen(MU),7,10,20,0,0,37,11-09-2013
Total,956,875,658,319,36,2844,11-09-2013
Wind Gen(MU),4,6,21,0,0,31,12-09-2013
Hydro,249,101,107,76,20,551,12-09-2013
Total,969,869,662,328,36,2864,12-09-2013
Hydro,246,90,105,71,16,528,13-09-2013
Total,962,870,663,313,36,2844,13-09-2013
Wind Gen(MU),4,9,20,0,0,32,13-09-2013
Hydro,221,61,111,64,15,473,15-09-2013
Wind Gen(MU),10,18,20,0,0,48,15-09-2013
Total,912,837,640,300,35,2724,15-09-2013
Hydro,220,62,145,71,16,514,16-09-2013
Total,849,839,660,319,37,2704,16-09-2013
Wind Gen(MU),9,17,34,0,0,60,16-09-2013
Total,905,838,659,303,37,2742,17-09-2013
Hydro,209,63,141,76,18,507,17-09-2013
Wind Gen(MU),3,12,38,0,0,53,17-09-2013
Total,939,810,663,308,37,2756,18-09-2013
Hydro,202,57,149,75,17,499,18-09-2013
Wind Gen(MU),5,14,43,0,0,61,18-09-2013
Wind Gen(MU),2,23,48,0,0,72,19-09-2013
Total,948,832,673,305,37,2795,19-09-2013
Hydro,201,46,156,69,17,489,19-09-2013
Wind Gen(MU),9,65,55,0,0,129,21-09-2013
Total,868,795,661,321,36,2681,21-09-2013
Hydro,183,46,165,60,15,469,21-09-2013
Hydro,187,70,160,63,17,498,22-09-2013
Wind Gen(MU),6,64,60,0,0,130,22-09-2013
Total,834,746,651,317,38,2586,22-09-2013
Hydro,217,90,165,72,15,558,24-09-2013
Wind Gen(MU),5,37,73,0,0,115,24-09-2013
Total,869,740,728,342,37,2716,24-09-2013
Total,852,721,739,331,33,2675,25-09-2013
Hydro,217,92,166,72,15,562,25-09-2013
Wind Gen(MU),9,32,60,0,0,101,25-09-2013
Total,862,722,753,333,34,2704,26-09-2013
Hydro,208,83,159,72,17,538,26-09-2013
Wind Gen(MU),9,35,52,0,0,95,26-09-2013
Hydro,199,88,146,64,19,516,27-09-2013
Total,872,734,757,320,35,2719,27-09-2013
Wind Gen(MU),11,37,51,0,0,99,27-09-2013
Wind Gen(MU),13,36,63,0,0,112,28-09-2013
Hydro,265,87,135,54,17,558,28-09-2013
Total,858,741,757,317,33,2706,28-09-2013
Hydro,201,78,121,48,17,466,29-09-2013
Wind Gen(MU),10,26,57,0,0,94,29-09-2013
Total,810,733,721,290,33,2587,29-09-2013
Wind Gen(MU),7,29,59,0,0,94,30-09-2013
Hydro,195,91,126,46,19,477,30-09-2013
Total,817,764,750,296,34,2661,30-09-2013
Total,815,766,758,301,34,2674,01-10-2013
Hydro,193,88,126,54,16,475,01-10-2013
Wind Gen(MU),4,23,48,0,0,75,01-10-2013
Total,793,748,712,303,35,2590,02-10-2013
Hydro,191,74,111,59,14,449,02-10-2013
Wind Gen(MU),4,13,37,0,0,54,02-10-2013
Wind Gen(MU),3,13,57,0,0,72,03-10-2013
Hydro,190,75,122,60,13,460,03-10-2013
Total,810,755,715,312,35,2627,03-10-2013
Wind Gen(MU),2,20,71,0,0,94,04-10-2013
Total,777,747,720,314,35,2594,04-10-2013
Hydro,184,76,132,68,14,474,04-10-2013
Hydro,185,90,143,74,16,507,05-10-2013
Wind Gen(MU),2,15,65,0,0,82,05-10-2013
Total,774,763,713,312,33,2594,05-10-2013
Hydro,181,95,124,75,20,496,06-10-2013
Total,777,761,678,305,30,2552,06-10-2013
Wind Gen(MU),3,16,44,0,0,63,06-10-2013
Wind Gen(MU),2,8,45,0,0,55,07-10-2013
Hydro,180,101,130,74,22,507,07-10-2013
Total,807,789,698,300,32,2626,07-10-2013
Hydro,179,102,133,66,19,500,08-10-2013
Total,833,783,690,300,33,2640,08-10-2013
Wind Gen(MU),3,12,39,0,0,53,08-10-2013
Wind Gen(MU),4,10,38,0,0,51,09-10-2013
Hydro,177,102,117,63,19,478,09-10-2013
Total,839,773,669,309,34,2624,09-10-2013
