source,NR,WR,SR,ER,NER,All India,date
Total,849,768,695,316,36,2663,10-10-2013
Wind Gen(MU),3,11,32,0,0,46,10-10-2013
Hydro,176,103,130,66,19,494,10-10-2013
Wind Gen(MU),2,13,51,0,0,66,11-10-2013
Hydro,175,92,130,67,17,481,11-10-2013
Total,755,763,711,313,36,2578,11-10-2013
Total,736,753,710,274,35,2508,12-10-2013
Hydro,179,88,106,52,16,441,12-10-2013
Wind Gen(MU),6,10,57,0,0,74,12-10-2013
Wind Gen(MU),2,8,41,0,0,51,13-10-2013
Total,691,691,664,173,33,2251,13-10-2013
Hydro,165,68,103,48,13,396,13-10-2013
Wind Gen(MU),5,9,46,0,0,59,14-10-2013
Hydro,164,93,118,44,15,434,14-10-2013
Total,705,734,695,179,32,2346,14-10-2013
Wind Gen(MU),6,6,16,0,0,29,16-10-2013
Total,757,788,704,271,35,2554,16-10-2013
Hydro,145,109,119,78,13,464,16-10-2013
Wind Gen(MU),7,6,6,0,0,19,17-10-2013
Hydro,144,94,115,73,14,440,17-10-2013
Total,751,798,703,288,36,2576,17-10-2013
Hydro,142,78,120,65,16,421,18-10-2013
Total,770,796,714,299,37,2615,18-10-2013
Wind Gen(MU),5,9,8,0,0,22,18-10-2013
Total,748,810,705,302,36,2601,19-10-2013
Hydro,133,82,116,71,14,416,19-10-2013
Wind Gen(MU),2,6,11,0,0,18,19-10-2013
Total,719,810,669,295,34,2528,20-10-2013
Wind Gen(MU),2,6,7,0,0,15,20-10-2013
Hydro,133,69,89,65,15,371,20-10-2013
Wind Gen(MU),2,7,12,0,0,22,21-10-2013
Hydro,132,64,99,61,14,370,21-10-2013
Total,731,833,679,297,32,2572,21-10-2013
Total,738,829,668,296,33,2564,22-10-2013
Wind Gen(MU),4,12,16,0,0,32,22-10-2013
Hydro,128,52,79,58,12,329,22-10-2013
Total,729,827,653,287,34,2530,23-10-2013
Hydro,126,58,70,55,13,322,23-10-2013
Wind Gen(MU),5,19,18,0,0,42,23-10-2013
Wind Gen(MU),7,19,20,0,0,45,24-10-2013
Hydro,186,55,71,56,14,382,24-10-2013
Total,719,828,639,285,35,2505,24-10-2013
Total,727,837,636,297,34,2531,25-10-2013
Hydro,125,57,89,81,12,363,25-10-2013
Wind Gen(MU),6,16,29,0,0,51,25-10-2013
Wind Gen(MU),4,11,33,0,0,49,26-10-2013
Total,731,842,623,278,32,2507,26-10-2013
Hydro,123,55,97,59,13,348,26-10-2013
Total,705,827,608,276,33,2448,27-10-2013
Hydro,121,72,90,67,13,363,27-10-2013
Wind Gen(MU),2,5,34,0,0,41,27-10-2013
Hydro,123,84,128,74,12,421,28-10-2013
Wind Gen(MU),3,5,29,0,0,37,28-10-2013
Total,711,859,651,281,31,2533,28-10-2013
Hydro,120,68,124,67,14,393,29-10-2013
Total,719,869,659,288,31,2566,29-10-2013
Wind Gen(MU),15,5,8,0,0,28,29-10-2013
Total,718,868,673,293,32,2584,30-10-2013
Hydro,118,64,108,64,12,367,30-10-2013
Wind Gen(MU),8,5,8,0,0,21,30-10-2013
Hydro,117,68,108,59,12,364,31-10-2013
Total,710,883,695,286,32,2606,31-10-2013
Wind Gen(MU),6,5,6,0,0,18,31-10-2013
Total,734,869,674,284,33,2594,01-11-2013
Wind Gen(MU),5,5,10,0,0,20,01-11-2013
Hydro,120,62,95,56,12,346,01-11-2013
Wind Gen(MU),4,6,11,0,0,21,02-11-2013
Hydro,116,41,74,63,13,306,02-11-2013
Total,744,852,634,287,34,2551,02-11-2013
Hydro,113,27,69,52,15,277,03-11-2013
Total,698,781,595,282,32,2388,03-11-2013
Wind Gen(MU),4,9,18,0,0,30,03-11-2013
Total,673,744,624,287,32,2359,04-11-2013
Hydro,118,32,68,51,14,283,04-11-2013
Wind Gen(MU),3,8,18,0,0,29,04-11-2013
Wind Gen(MU),3,10,23,0,0,36,05-11-2013
Total,679,768,656,286,32,2420,05-11-2013
Hydro,119,52,83,46,11,310,05-11-2013
Wind Gen(MU),8,6,21,0,0,35,06-11-2013
Total,699,803,676,285,33,2496,06-11-2013
Hydro,119,55,103,43,13,333,06-11-2013
Total,679,829,687,290,33,2518,07-11-2013
Hydro,114,52,103,40,12,321,07-11-2013
Wind Gen(MU),10,7,22,0,0,38,07-11-2013
Total,679,834,698,283,34,2528,08-11-2013
Hydro,116,51,104,40,13,324,08-11-2013
Wind Gen(MU),12,16,15,0,0,43,08-11-2013
Hydro,116,56,107,39,11,329,09-11-2013
Total,682,838,696,283,32,2530,09-11-2013
Wind Gen(MU),10,32,21,0,0,62,09-11-2013
Total,671,827,681,279,32,2490,10-11-2013
Wind Gen(MU),8,32,18,0,0,58,10-11-2013
Hydro,116,63,100,36,12,327,10-11-2013
Total,688,859,692,276,31,2546,11-11-2013
Wind Gen(MU),3,19,16,0,0,39,11-11-2013
Hydro,117,61,111,37,11,337,11-11-2013
Wind Gen(MU),3,6,9,0,0,19,12-11-2013
Hydro,116,56,107,44,11,335,12-11-2013
Total,710,872,704,275,31,2592,12-11-2013
Hydro,113,70,106,45,11,345,13-11-2013
Total,715,874,694,280,32,2595,13-11-2013
Wind Gen(MU),4,6,8,0,0,18,13-11-2013
Hydro,114,81,107,38,10,351,14-11-2013
Wind Gen(MU),7,10,8,0,0,26,14-11-2013
Total,705,877,687,277,32,2578,14-11-2013
Wind Gen(MU),8,26,14,0,0,48,15-11-2013
Total,704,870,689,274,31,2568,15-11-2013
Hydro,110,61,92,40,10,312,15-11-2013
Total,715,860,666,281,33,2554,16-11-2013
Wind Gen(MU),6,28,15,0,0,49,16-11-2013
Hydro,109,63,84,35,11,303,16-11-2013
Total,693,841,621,276,32,2462,17-11-2013
Hydro,108,54,63,27,9,262,17-11-2013
Wind Gen(MU),6,33,19,0,0,58,17-11-2013
Hydro,108,73,79,29,9,297,18-11-2013
Total,719,863,647,284,30,2544,18-11-2013
Wind Gen(MU),4,30,15,0,0,49,18-11-2013
Wind Gen(MU),1,13,9,0,0,23,19-11-2013
Total,725,885,663,290,32,2594,19-11-2013
Hydro,108,81,92,30,9,320,19-11-2013
Wind Gen(MU),1,6,8,0,0,15,20-11-2013
Hydro,109,72,96,37,9,324,20-11-2013
Total,720,891,679,292,32,2613,20-11-2013
Total,729,894,672,287,31,2614,21-11-2013
Hydro,108,80,96,36,9,329,21-11-2013
Wind Gen(MU),6,4,5,0,0,15,21-11-2013
Wind Gen(MU),2,10,4,0,0,15,22-11-2013
Total,733,891,672,280,32,2609,22-11-2013
Hydro,109,83,93,29,10,324,22-11-2013
Wind Gen(MU),5,13,5,0,0,22,23-11-2013
Total,725,902,665,289,32,2612,23-11-2013
Hydro,105,82,89,31,10,317,23-11-2013
Wind Gen(MU),3,7,6,0,0,16,24-11-2013
Total,706,891,629,277,31,2534,24-11-2013
Hydro,106,55,68,23,9,261,24-11-2013
Total,711,903,660,270,32,2575,25-11-2013
Hydro,106,68,84,27,10,294,25-11-2013
Wind Gen(MU),3,8,5,0,0,16,25-11-2013
Wind Gen(MU),1,7,6,0,0,14,26-11-2013
Hydro,106,77,89,33,10,315,26-11-2013
Total,720,910,667,282,32,2611,26-11-2013
Total,731,913,678,285,32,2638,27-11-2013
Wind Gen(MU),1,8,8,0,0,17,27-11-2013
Hydro,107,64,86,33,10,301,27-11-2013
Total,730,903,680,281,33,2627,28-11-2013
Hydro,104,59,92,34,10,299,28-11-2013
Wind Gen(MU),3,19,9,0,0,31,28-11-2013
Wind Gen(MU),5,31,9,0,0,45,29-11-2013
Hydro,104,57,107,40,9,317,29-11-2013
Total,740,895,650,280,33,2597,29-11-2013
Total,737,899,677,276,33,2622,30-11-2013
Wind Gen(MU),3,19,12,0,0,33,30-11-2013
Hydro,106,68,103,32,10,319,30-11-2013
Wind Gen(MU),2,9,15,0,0,26,01-12-2013
Hydro,104,66,83,29,10,291,01-12-2013
Total,718,887,664,269,31,2569,01-12-2013
Wind Gen(MU),2,6,14,0,0,23,02-12-2013
Total,718,913,665,271,32,2598,02-12-2013
Hydro,104,72,87,31,11,305,02-12-2013
Wind Gen(MU),4,10,25,0,0,38,03-12-2013
Hydro,103,56,91,35,10,295,03-12-2013
Total,726,898,684,276,32,2616,03-12-2013
Wind Gen(MU),7,24,31,0,0,61,04-12-2013
Total,732,902,688,289,32,2644,04-12-2013
Hydro,104,61,81,32,10,288,04-12-2013
Total,718,905,689,279,31,2624,05-12-2013
Hydro,106,61,91,22,8,287,05-12-2013
Wind Gen(MU),3,20,24,0,0,47,05-12-2013
Total,753,896,701,281,32,2663,06-12-2013
Wind Gen(MU),1,11,12,0,0,24,06-12-2013
Hydro,106,64,108,22,8,308,06-12-2013
Total,758,888,693,278,31,2649,07-12-2013
Hydro,106,58,86,23,8,281,07-12-2013
Wind Gen(MU),2,9,12,0,0,23,07-12-2013
Total,741,867,684,270,33,2595,08-12-2013
Hydro,105,58,77,18,8,266,08-12-2013
Wind Gen(MU),2,10,9,0,0,20,08-12-2013
Hydro,106,54,87,17,7,271,09-12-2013
Wind Gen(MU),2,6,7,0,0,15,09-12-2013
Total,750,887,691,278,31,2637,09-12-2013
Total,765,894,714,278,31,2682,10-12-2013
Hydro,107,57,87,18,8,276,10-12-2013
Wind Gen(MU),3,6,7,0,0,16,10-12-2013
Total,763,890,720,283,32,2687,11-12-2013
Hydro,109,62,94,17,8,291,11-12-2013
Wind Gen(MU),1,7,10,0,0,19,11-12-2013
Hydro,108,60,81,16,8,273,12-12-2013
Total,768,893,708,281,32,2681,12-12-2013
Wind Gen(MU),3,16,22,0,0,40,12-12-2013
Wind Gen(MU),2,16,27,0,0,45,13-12-2013
Total,776,888,705,277,31,2677,13-12-2013
Hydro,107,57,81,17,8,269,13-12-2013
Total,775,886,698,275,32,2666,14-12-2013
Hydro,109,62,93,21,8,293,14-12-2013
Wind Gen(MU),8,7,16,0,0,30,14-12-2013
Total,747,869,676,271,32,2594,15-12-2013
Hydro,103,51,78,22,8,262,15-12-2013
Wind Gen(MU),8,3,8,0,0,19,15-12-2013
Hydro,106,51,96,14,8,275,16-12-2013
Total,767,885,692,274,31,2649,16-12-2013
Wind Gen(MU),2,7,18,0,0,26,16-12-2013
Hydro,105,66,88,16,8,284,17-12-2013
Wind Gen(MU),0,4,26,0,0,30,17-12-2013
Total,771,897,709,279,32,2687,17-12-2013
Total,760,896,711,283,31,2681,18-12-2013
Hydro,104,69,97,15,7,293,18-12-2013
Wind Gen(MU),5,6,18,0,0,29,18-12-2013
Hydro,106,70,98,18,8,300,19-12-2013
Wind Gen(MU),2,5,9,0,0,16,19-12-2013
Total,753,891,703,285,31,2663,19-12-2013
Hydro,106,59,95,19,8,287,20-12-2013
Total,758,892,721,272,31,2674,20-12-2013
Wind Gen(MU),3,8,10,0,0,21,20-12-2013
Hydro,106,55,90,18,8,276,21-12-2013
Wind Gen(MU),4,9,16,0,0,30,21-12-2013
Total,746,837,729,288,31,2631,21-12-2013
Total,709,867,709,278,32,2594,22-12-2013
Hydro,102,47,67,22,7,244,22-12-2013
Wind Gen(MU),5,14,24,0,0,44,22-12-2013
Wind Gen(MU),8,36,32,0,0,76,23-12-2013
Hydro,103,45,88,27,8,271,23-12-2013
Total,733,883,725,287,32,2660,23-12-2013
Wind Gen(MU),7,36,38,0,0,81,24-12-2013
Hydro,104,48,102,17,7,279,24-12-2013
Total,742,899,725,288,32,2687,24-12-2013
Wind Gen(MU),5,23,23,0,0,51,25-12-2013
Hydro,108,55,95,33,7,298,25-12-2013
Total,766,890,719,294,33,2702,25-12-2013
Wind Gen(MU),7,21,26,0,0,53,26-12-2013
Hydro,107,55,86,18,7,273,26-12-2013
Total,760,904,731,271,33,2698,26-12-2013
Total,776,901,733,279,32,2722,27-12-2013
Wind Gen(MU),4,21,17,0,0,43,27-12-2013
Hydro,106,48,95,17,7,273,27-12-2013
Total,778,888,735,289,33,2723,28-12-2013
Wind Gen(MU),3,18,14,0,0,35,28-12-2013
Hydro,110,48,93,18,7,276,28-12-2013
Wind Gen(MU),5,20,16,0,0,41,29-12-2013
Hydro,105,46,74,16,7,248,29-12-2013
Total,754,887,713,295,33,2682,29-12-2013
Wind Gen(MU),6,20,21,0,0,46,30-12-2013
Total,767,885,734,285,32,2702,30-12-2013
Hydro,101,38,73,19,7,238,30-12-2013
Total,724,862,745,288,32,2651,31-12-2013
Hydro,102,46,80,21,7,256,31-12-2013
Wind Gen(MU),10,34,29,0,0,73,31-12-2013
Hydro,97,63,89,22,7,277,08-01-2014
Wind Gen(MU),14,17,23,0,0,54,08-01-2014
Total,810,886,768,293,33,2791,08-01-2014
Wind Gen(MU),10,21,18,0,0,49,09-01-2014
Hydro,99,67,94,21,6,287,09-01-2014
Total,791,891,764,296,33,2775,09-01-2014
Total,805,884,766,300,33,2789,10-01-2014
Wind Gen(MU),10,22,17,0,0,49,10-01-2014
Hydro,100,57,106,23,6,292,10-01-2014
Wind Gen(MU),10,35,13,0,0,58,11-01-2014
Total,800,867,760,291,34,2751,11-01-2014
Hydro,97,42,117,18,6,280,11-01-2014
Hydro,97,45,82,16,7,248,12-01-2014
Wind Gen(MU),5,32,13,0,0,50,12-01-2014
Total,785,860,742,286,34,2707,12-01-2014
Hydro,96,57,90,19,7,268,13-01-2014
Total,791,876,764,299,33,2763,13-01-2014
Wind Gen(MU),6,19,17,0,0,41,13-01-2014
Hydro,96,57,79,17,7,255,14-01-2014
Wind Gen(MU),7,15,16,0,0,38,14-01-2014
Total,799,835,730,299,33,2696,14-01-2014
Hydro,98,63,83,20,6,270,15-01-2014
Total,804,842,703,299,32,2679,15-01-2014
Wind Gen(MU),5,16,14,0,0,35,15-01-2014
Total,807,861,723,298,33,2723,16-01-2014
Hydro,97,64,86,20,7,273,16-01-2014
Wind Gen(MU),2,15,14,0,0,32,16-01-2014
Wind Gen(MU),5,21,16,0,0,42,17-01-2014
Total,800,859,754,295,33,2741,17-01-2014
Hydro,97,54,88,19,7,265,17-01-2014
Total,716,841,764,294,33,2648,18-01-2014
Hydro,96,53,82,16,7,253,18-01-2014
Wind Gen(MU),5,14,17,0,0,37,18-01-2014
Hydro,93,53,71,14,7,238,19-01-2014
Wind Gen(MU),14,28,20,0,0,62,19-01-2014
Total,753,840,742,286,32,2653,19-01-2014
Wind Gen(MU),8,21,37,0,0,66,20-01-2014
Hydro,92,64,77,16,7,256,20-01-2014
Total,768,865,759,290,32,2714,20-01-2014
Total,739,843,760,297,31,2669,21-01-2014
Hydro,90,51,78,13,7,239,21-01-2014
Wind Gen(MU),8,15,31,0,0,54,21-01-2014
Hydro,101,42,80,16,6,246,22-01-2014
Total,719,821,766,297,31,2634,22-01-2014
Wind Gen(MU),6,17,23,0,0,45,22-01-2014
Wind Gen(MU),10,17,17,0,0,44,23-01-2014
Hydro,86,51,81,17,6,240,23-01-2014
Total,691,827,769,295,32,2613,23-01-2014
Hydro,85,46,83,19,5,238,24-01-2014
Total,744,810,779,298,32,2662,24-01-2014
Wind Gen(MU),7,23,16,0,0,46,24-01-2014
Wind Gen(MU),5,27,24,0,0,55,25-01-2014
Hydro,82,40,76,18,4,220,25-01-2014
Total,735,814,773,297,33,2652,25-01-2014
Wind Gen(MU),4,26,26,0,0,56,26-01-2014
Hydro,80,34,66,19,4,202,26-01-2014
Total,717,772,733,288,33,2542,26-01-2014
Total,734,816,752,288,32,2622,27-01-2014
Hydro,81,49,83,16,4,233,27-01-2014
Wind Gen(MU),4,29,37,0,0,70,27-01-2014
Wind Gen(MU),6,15,23,0,0,44,28-01-2014
Total,767,840,768,300,32,2707,28-01-2014
Hydro,82,51,85,17,4,239,28-01-2014
Wind Gen(MU),1,8,21,0,0,30,29-01-2014
Hydro,89,48,86,17,5,245,29-01-2014
Total,771,848,768,300,30,2716,29-01-2014
Hydro,87,60,92,18,4,261,30-01-2014
Total,764,860,760,303,31,2718,30-01-2014
Wind Gen(MU),4,10,22,0,0,37,30-01-2014
Wind Gen(MU),5,14,26,0,0,44,31-01-2014
Hydro,87,49,88,18,4,247,31-01-2014
Total,773,861,763,297,32,2725,31-01-2014
Total,771,864,768,298,28,2729,01-02-2014
Hydro,88,58,89,20,4,259,01-02-2014
Wind Gen(MU),7,16,28,0,0,50,01-02-2014
Wind Gen(MU),4,12,28,0,0,44,02-02-2014
Hydro,87,64,67,19,4,240,02-02-2014
Total,741,847,746,292,29,2656,02-02-2014
Wind Gen(MU),3,8,20,0,0,32,03-02-2014
Hydro,92,80,89,15,4,280,03-02-2014
Total,750,876,761,300,30,2717,03-02-2014
Hydro,94,78,96,17,4,289,04-02-2014
Total,770,891,774,302,30,2767,04-02-2014
Wind Gen(MU),2,8,13,0,0,23,04-02-2014
Wind Gen(MU),1,5,9,0,0,15,05-02-2014
Hydro,93,77,96,17,4,287,05-02-2014
Total,763,943,767,293,29,2795,05-02-2014
Total,759,913,769,297,32,2771,06-02-2014
Hydro,90,74,92,19,4,279,06-02-2014
Wind Gen(MU),14,9,16,0,0,39,06-02-2014
Hydro,101,63,92,16,4,275,07-02-2014
Total,741,909,770,296,33,2749,07-02-2014
Wind Gen(MU),7,19,17,0,0,44,07-02-2014
Total,750,910,778,292,32,2761,08-02-2014
Hydro,101,55,89,21,4,269,08-02-2014
Wind Gen(MU),5,19,15,0,0,39,08-02-2014
Wind Gen(MU),3,16,9,0,0,27,09-02-2014
Hydro,99,64,74,17,5,260,09-02-2014
Total,740,883,747,286,31,2687,09-02-2014
Total,762,898,770,297,31,2758,10-02-2014
Hydro,99,61,84,20,5,269,10-02-2014
Wind Gen(MU),2,17,6,0,0,26,10-02-2014
Wind Gen(MU),4,14,10,0,0,28,11-02-2014
Total,783,899,782,297,32,2794,11-02-2014
Hydro,97,54,92,17,4,264,11-02-2014
Total,796,902,786,300,32,2816,12-02-2014
Hydro,101,59,94,15,4,273,12-02-2014
Wind Gen(MU),12,14,10,0,0,36,12-02-2014
Total,802,892,798,297,32,2820,13-02-2014
Wind Gen(MU),15,23,11,0,0,49,13-02-2014
Hydro,101,49,96,16,4,265,13-02-2014
Hydro,103,37,93,16,4,253,14-02-2014
Wind Gen(MU),4,17,10,0,0,31,14-02-2014
Total,747,870,799,294,34,2743,14-02-2014
Hydro,103,46,93,16,4,262,15-02-2014
Total,742,852,791,282,34,2701,15-02-2014
Wind Gen(MU),3,20,8,0,0,30,15-02-2014
Total,748,824,755,270,32,2628,16-02-2014
Hydro,103,43,88,18,4,256,16-02-2014
Wind Gen(MU),3,13,11,0,0,28,16-02-2014
Wind Gen(MU),5,19,9,0,0,34,17-02-2014
Hydro,104,67,96,22,5,295,17-02-2014
Total,756,857,773,279,29,2695,17-02-2014
Total,777,874,778,285,31,2745,18-02-2014
Hydro,107,72,98,19,7,303,18-02-2014
Wind Gen(MU),2,16,25,0,0,43,18-02-2014
Total,784,883,779,287,30,2763,19-02-2014
Wind Gen(MU),3,10,16,0,0,29,19-02-2014
Hydro,106,70,97,22,4,299,19-02-2014
Wind Gen(MU),2,13,15,0,0,29,20-02-2014
Total,781,899,781,289,31,2780,20-02-2014
Hydro,115,69,97,21,4,306,20-02-2014
Total,769,893,789,296,33,2779,21-02-2014
Hydro,104,57,92,20,4,277,21-02-2014
Wind Gen(MU),8,17,11,0,0,36,21-02-2014
Total,746,873,797,295,31,2742,22-02-2014
Hydro,106,52,86,22,4,270,22-02-2014
Wind Gen(MU),9,16,9,0,0,34,22-02-2014
Wind Gen(MU),10,31,14,0,0,54,23-02-2014
Hydro,105,53,80,18,4,260,23-02-2014
Total,736,840,767,288,32,2662,23-02-2014
Hydro,108,57,83,21,3,272,24-02-2014
Total,761,846,788,291,32,2718,24-02-2014
Wind Gen(MU),12,36,24,0,0,72,24-02-2014
Total,766,831,787,294,32,2710,25-02-2014
Hydro,109,56,92,23,4,284,25-02-2014
Wind Gen(MU),8,23,28,0,0,59,25-02-2014
Wind Gen(MU),8,20,19,0,0,48,26-02-2014
Hydro,108,59,105,21,4,297,26-02-2014
Total,768,811,779,299,33,2691,26-02-2014
Total,745,785,777,300,32,2639,27-02-2014
Hydro,107,42,104,17,3,273,27-02-2014
Wind Gen(MU),8,21,13,0,0,42,27-02-2014
Total,683,770,773,288,30,2544,28-02-2014
Hydro,106,45,94,21,4,270,28-02-2014
Wind Gen(MU),7,26,11,0,0,44,28-02-2014
Total,688,775,761,290,28,2542,01-03-2014
Hydro,105,51,93,20,4,273,01-03-2014
Wind Gen(MU),2,12,9,0,0,22,01-03-2014
Total,681,762,745,294,28,2511,02-03-2014
Hydro,106,47,68,20,4,245,02-03-2014
Wind Gen(MU),4,12,11,0,0,27,02-03-2014
Total,708,801,750,291,29,2578,03-03-2014
Wind Gen(MU),7,14,11,0,0,32,03-03-2014
Hydro,109,49,81,21,4,262,03-03-2014
Wind Gen(MU),7,16,10,0,0,33,04-03-2014
Total,723,790,748,287,29,2577,04-03-2014
Hydro,108,46,82,19,4,258,04-03-2014
Wind Gen(MU),8,20,13,0,0,41,05-03-2014
Hydro,110,46,80,23,4,263,05-03-2014
Total,729,811,768,285,31,2623,05-03-2014
Total,731,814,765,296,31,2638,06-03-2014
Hydro,110,47,78,24,4,262,06-03-2014
Wind Gen(MU),8,21,11,0,0,40,06-03-2014
Total,741,821,765,299,32,2658,07-03-2014
Wind Gen(MU),6,22,18,0,0,45,07-03-2014
Hydro,108,48,76,24,4,260,07-03-2014
Total,737,822,751,299,30,2640,08-03-2014
Hydro,107,42,69,24,4,246,08-03-2014
Wind Gen(MU),4,20,24,0,0,48,08-03-2014
Total,741,790,727,289,30,2577,09-03-2014
Wind Gen(MU),5,14,25,0,0,43,09-03-2014
Hydro,105,38,58,23,4,227,09-03-2014
Wind Gen(MU),10,11,14,0,0,35,10-03-2014
Hydro,109,42,70,24,4,248,10-03-2014
Total,694,818,760,304,30,2605,10-03-2014
Wind Gen(MU),6,11,30,0,0,46,11-03-2014
Hydro,120,55,81,25,4,284,11-03-2014
Total,665,830,776,310,32,2613,11-03-2014
Hydro,121,61,86,27,5,300,12-03-2014
Total,681,842,778,311,33,2645,12-03-2014
Wind Gen(MU),10,17,30,0,0,56,12-03-2014
Total,725,846,792,315,32,2710,13-03-2014
Hydro,128,60,85,28,4,304,13-03-2014
Wind Gen(MU),10,29,36,0,0,75,13-03-2014
Hydro,128,60,89,29,4,310,14-03-2014
Wind Gen(MU),2,18,31,0,0,52,14-03-2014
Total,748,849,800,322,32,2751,14-03-2014
Wind Gen(MU),4,12,25,0,0,40,15-03-2014
Hydro,129,47,98,29,4,307,15-03-2014
Total,756,872,803,322,30,2783,15-03-2014
Hydro,126,49,90,24,4,293,16-03-2014
Wind Gen(MU),4,14,30,0,0,48,16-03-2014
Total,753,843,782,304,27,2709,16-03-2014
Wind Gen(MU),17,21,22,0,0,59,17-03-2014
Total,698,763,794,301,28,2584,17-03-2014
Hydro,136,34,90,24,4,288,17-03-2014
Wind Gen(MU),4,14,25,0,0,44,18-03-2014
Hydro,148,54,111,24,4,340,18-03-2014
Total,677,837,798,310,32,2653,18-03-2014
Wind Gen(MU),4,9,16,0,0,29,19-03-2014
Hydro,154,65,115,26,4,364,19-03-2014
Total,751,894,798,319,27,2789,19-03-2014
Wind Gen(MU),4,15,9,0,0,28,20-03-2014
Hydro,147,74,126,28,3,378,20-03-2014
Total,766,909,793,322,29,2818,20-03-2014
Hydro,141,64,119,29,4,357,21-03-2014
Total,773,887,795,323,31,2809,21-03-2014
Wind Gen(MU),10,35,10,0,0,55,21-03-2014
Hydro,142,50,110,31,4,338,22-03-2014
Total,779,894,822,326,32,2853,22-03-2014
Wind Gen(MU),6,23,10,0,0,39,22-03-2014
Total,752,889,818,311,30,2800,23-03-2014
Hydro,140,54,93,24,4,314,23-03-2014
Wind Gen(MU),9,15,10,0,0,34,23-03-2014
Total,689,919,832,313,32,2786,24-03-2014
Hydro,135,55,113,14,4,321,24-03-2014
Wind Gen(MU),7,18,10,0,0,34,24-03-2014
Total,713,921,840,315,32,2822,25-03-2014
Hydro,137,62,114,23,4,339,25-03-2014
Wind Gen(MU),4,15,16,0,0,36,25-03-2014
Hydro,134,68,107,25,4,337,26-03-2014
Total,761,930,845,333,32,2902,26-03-2014
Wind Gen(MU),6,15,31,0,0,52,26-03-2014
Total,743,938,834,343,32,2890,27-03-2014
Wind Gen(MU),7,20,18,0,0,44,27-03-2014
Hydro,131,69,121,30,4,354,27-03-2014
Wind Gen(MU),5,18,13,0,0,35,28-03-2014
Hydro,135,66,120,34,4,360,28-03-2014
Total,728,939,824,341,33,2865,28-03-2014
Wind Gen(MU),5,17,18,0,0,40,29-03-2014
Hydro,143,67,123,33,4,369,29-03-2014
Total,731,941,822,334,33,2861,29-03-2014
Hydro,137,54,113,30,4,338,30-03-2014
Total,714,915,808,333,32,2802,30-03-2014
Wind Gen(MU),7,20,15,0,0,42,30-03-2014
Wind Gen(MU),5,27,17,0,0,48,31-03-2014
Total,741,928,823,335,33,2860,31-03-2014
Hydro,142,55,111,24,6,337,31-03-2014
Total,748,927,831,336,32,2874,01-04-2014
Hydro,142,59,115,30,4,350,01-04-2014
Wind Gen(MU),7,29,20,0,0,55,01-04-2014
Total,751,928,828,339,31,2877,02-04-2014
Hydro,140,56,120,31,3,351,02-04-2014
Wind Gen(MU),9,22,15,0,0,46,02-04-2014
Total,743,950,829,352,31,2905,03-04-2014
Hydro,143,56,120,32,3,353,03-04-2014
Wind Gen(MU),3,13,12,0,0,28,03-04-2014
Total,764,951,825,343,28,2911,04-04-2014
Wind Gen(MU),6,13,9,0,0,28,04-04-2014
Hydro,129,52,125,34,3,342,04-04-2014
Wind Gen(MU),6,18,8,0,0,32,05-04-2014
Hydro,132,64,120,36,3,354,05-04-2014
Total,758,960,801,335,31,2885,05-04-2014
Wind Gen(MU),17,20,11,0,0,48,06-04-2014
Hydro,135,57,98,33,3,326,06-04-2014
Total,738,938,787,331,33,2826,06-04-2014
Total,724,963,816,345,32,2880,07-04-2014
Hydro,140,63,97,27,3,330,07-04-2014
Wind Gen(MU),5,22,14,0,0,41,07-04-2014
Wind Gen(MU),3,20,25,0,0,48,08-04-2014
Hydro,153,73,99,34,3,360,08-04-2014
Total,748,962,812,351,29,2902,08-04-2014
Hydro,147,62,81,34,4,327,09-04-2014
Total,748,956,813,350,29,2896,09-04-2014
Wind Gen(MU),3,19,38,0,0,60,09-04-2014
Wind Gen(MU),6,16,17,0,0,39,10-04-2014
Hydro,143,49,85,37,6,321,10-04-2014
Total,749,963,784,345,32,2872,10-04-2014
Wind Gen(MU),3,27,27,0,0,57,11-04-2014
Total,755,956,807,351,32,2900,11-04-2014
Hydro,144,49,91,36,3,323,11-04-2014
Hydro,145,51,93,34,3,326,12-04-2014
Total,757,946,800,349,31,2884,12-04-2014
Wind Gen(MU),13,28,17,0,0,59,12-04-2014
Total,709,922,773,334,32,2769,13-04-2014
Hydro,137,46,66,31,3,282,13-04-2014
Wind Gen(MU),13,25,12,0,0,50,13-04-2014
Wind Gen(MU),7,13,13,0,0,33,14-04-2014
Hydro,141,62,77,30,3,313,14-04-2014
Total,736,941,785,339,32,2832,14-04-2014
Total,786,956,785,345,31,2903,15-04-2014
Hydro,136,71,79,34,3,323,15-04-2014
Wind Gen(MU),7,12,9,0,0,28,15-04-2014
Hydro,142,72,77,32,3,326,16-04-2014
Total,762,960,798,347,31,2898,16-04-2014
Wind Gen(MU),4,16,17,0,0,37,16-04-2014
Wind Gen(MU),5,25,28,0,0,59,17-04-2014
Total,738,959,804,351,31,2884,17-04-2014
Hydro,134,59,80,32,3,308,17-04-2014
Total,663,934,787,339,32,2755,18-04-2014
Hydro,130,53,73,33,3,292,18-04-2014
Wind Gen(MU),2,18,23,0,0,43,18-04-2014
Total,693,933,785,348,31,2791,19-04-2014
Hydro,134,56,79,37,3,308,19-04-2014
